%DATA MadgeTech Data File                       
%FORMAT CSV                                     
%VERSION 2.02.00                                
%BEGIN

"[Device]"
"DeviceType","&H0126"
"6952","41188.9305555556","+0","0","","&B10000000","&B00000000"
"6953","41188.9340277778","+0","0","","&B10000000","&B00000000"
"6954","41188.9375","+0","0","","&B10000000","&B00000000"
"6955","41188.9409722222","+0","0","","&B10000000","&B00000000"
"6956","41188.9444444444","+0","0","","&B10000000","&B00000000"
"6957","41188.9479166667","+0","0","","&B10000000","&B00000000"
"6958","41188.9513888889","+0","0","","&B10000000","&B00000000"
"6959","41188.9548611111","+0","0","","&B10000000","&B00000000"
"6960","41188.9583333333","+0","0","","&B10000000","&B00000000"
"6961","41188.9618055556","+0","0","","&B10000000","&B00000000"
"6962","41188.9652777778","+0","0","","&B10000000","&B00000000"
"6963","41188.96875","+0","0","","&B10000000","&B00000000"
"6964","41188.9722222222","+0","0","","&B10000000","&B00000000"
"6965","41188.9756944444","+0","0","","&B10000000","&B00000000"
"6966","41188.9791666667","+0","0","","&B10000000","&B00000000"
"6967","41188.9826388889","+0","0","","&B10000000","&B00000000"
"6968","41188.9861111111","+0","0","","&B10000000","&B00000000"
"6969","41188.9895833333","+0","0","","&B10000000","&B00000000"
"6970","41188.9930555556","+0","0","","&B10000000","&B00000000"
"6971","41188.9965277778","+0","0","","&B10000000","&B00000000"
"6972","41189","+0","0","","&B10000000","&B00000000"
"6973","41189.0034722222","+0","0","","&B10000000","&B00000000"
"6974","41189.0069444444","+0","0","","&B10000000","&B00000000"
"6975","41189.0104166667","+0","0","","&B10000000","&B00000000"
"6976","41189.0138888889","+0","0","","&B10000000","&B00000000"
"6977","41189.0173611111","+0","0","","&B10000000","&B00000000"
"6978","41189.0208333333","+0","0","","&B10000000","&B00000000"
"6979","41189.0243055556","+0","0","","&B10000000","&B00000000"
"6980","41189.0277777778","+0","0","","&B10000000","&B00000000"
"6981","41189.03125","+0","0","","&B10000000","&B00000000"
"6982","41189.0347222222","+0","0","","&B10000000","&B00000000"
"6983","41189.0381944444","+0","0","","&B10000000","&B00000000"
"6984","41189.0416666667","+0","0","","&B10000000","&B00000000"
"6985","41189.0451388889","+0","0","","&B10000000","&B00000000"
"6986","41189.0486111111","+0","0","","&B10000000","&B00000000"
"6987","41189.0520833333","+0","0","","&B10000000","&B00000000"
"6988","41189.0555555556","+0","0","","&B10000000","&B00000000"
"6989","41189.0590277778","+0","0","","&B10000000","&B00000000"
"6990","41189.0625","+0","0","","&B10000000","&B00000000"
"6991","41189.0659722222","+0","0","","&B10000000","&B00000000"
"6992","41189.0694444444","+0","0","","&B10000000","&B00000000"
"6993","41189.0729166667","+0","0","","&B10000000","&B00000000"
"6994","41189.0763888889","-0.005","0","","&B10000000","&B00000000"
"6995","41189.0798611111","+0","0","","&B10000000","&B00000000"
"6996","41189.0833333333","+0","0","","&B10000000","&B00000000"
"6997","41189.0868055556","+0","0","","&B10000000","&B00000000"
"6998","41189.0902777778","+0","0","","&B10000000","&B00000000"
"6999","41189.09375","+0","0","","&B10000000","&B00000000"
"7000","41189.0972222222","+0","0","","&B10000000","&B00000000"
"7001","41189.1006944444","+0","0","","&B10000000","&B00000000"
"7002","41189.1041666667","+0","0","","&B10000000","&B00000000"
"7003","41189.1076388889","+0","0","","&B10000000","&B00000000"
"7004","41189.1111111111","+0","0","","&B10000000","&B00000000"
"7005","41189.1145833333","+0","0","","&B10000000","&B00000000"
"7006","41189.1180555556","+0","0","","&B10000000","&B00000000"
"7007","41189.1215277778","+0","0","","&B10000000","&B00000000"
"7008","41189.125","+0","0","","&B10000000","&B00000000"
"7009","41189.1284722222","+0","0","","&B10000000","&B00000000"
"7010","41189.1319444444","+0","0","","&B10000000","&B00000000"
"7011","41189.1354166667","+0","0","","&B10000000","&B00000000"
"7012","41189.1388888889","+0","0","","&B10000000","&B00000000"
"7013","41189.1423611111","+0","0","","&B10000000","&B00000000"
"7014","41189.1458333333","+0","0","","&B10000000","&B00000000"
"7015","41189.1493055556","+0","0","","&B10000000","&B00000000"
"7016","41189.1527777778","+0","0","","&B10000000","&B00000000"
"7017","41189.15625","+0","0","","&B10000000","&B00000000"
"7018","41189.1597222222","+0","0","","&B10000000","&B00000000"
"7019","41189.1631944444","+0","0","","&B10000000","&B00000000"
"7020","41189.1666666667","+0","0","","&B10000000","&B00000000"
"7021","41189.1701388889","+0","0","","&B10000000","&B00000000"
"7022","41189.1736111111","+0","0","","&B10000000","&B00000000"
"7023","41189.1770833333","+0","0","","&B10000000","&B00000000"
"7024","41189.1805555556","+0","0","","&B10000000","&B00000000"
"7025","41189.1840277778","+0","0","","&B10000000","&B00000000"
"7026","41189.1875","+0","0","","&B10000000","&B00000000"
"7027","41189.1909722222","+0","0","","&B10000000","&B00000000"
"7028","41189.1944444444","-0.005","0","","&B10000000","&B00000000"
"7029","41189.1979166667","+0","0","","&B10000000","&B00000000"
"7030","41189.2013888889","+0","0","","&B10000000","&B00000000"
"7031","41189.2048611111","+0","0","","&B10000000","&B00000000"
"7032","41189.2083333333","+0","0","","&B10000000","&B00000000"
"7033","41189.2118055556","+0","0","","&B10000000","&B00000000"
"7034","41189.2152777778","+0","0","","&B10000000","&B00000000"
"7035","41189.21875","+0","0","","&B10000000","&B00000000"
"7036","41189.2222222222","+0","0","","&B10000000","&B00000000"
"7037","41189.2256944444","+0","0","","&B10000000","&B00000000"
"7038","41189.2291666667","+0","0","","&B10000000","&B00000000"
"7039","41189.2326388889","+0","0","","&B10000000","&B00000000"
"7040","41189.2361111111","+0","0","","&B10000000","&B00000000"
"7041","41189.2395833333","+0","0","","&B10000000","&B00000000"
"7042","41189.2430555556","+0","0","","&B10000000","&B00000000"
"7043","41189.2465277778","+0","0","","&B10000000","&B00000000"
"7044","41189.25","+0","0","","&B10000000","&B00000000"
"7045","41189.2534722222","+0","0","","&B10000000","&B00000000"
"7046","41189.2569444444","+0","0","","&B10000000","&B00000000"
"7047","41189.2604166667","-0.005","0","","&B10000000","&B00000000"
"7048","41189.2638888889","+0","0","","&B10000000","&B00000000"
"7049","41189.2673611111","+0","0","","&B10000000","&B00000000"
"7050","41189.2708333333","+0","0","","&B10000000","&B00000000"
"7051","41189.2743055556","+0","0","","&B10000000","&B00000000"
"7052","41189.2777777778","+0","0","","&B10000000","&B00000000"
"7053","41189.28125","+0","0","","&B10000000","&B00000000"
"7054","41189.2847222222","+0","0","","&B10000000","&B00000000"
"7055","41189.2881944444","+0","0","","&B10000000","&B00000000"
"7056","41189.2916666667","+0","0","","&B10000000","&B00000000"
"7057","41189.2951388889","+0","0","","&B10000000","&B00000000"
"7058","41189.2986111111","+0","0","","&B10000000","&B00000000"
"7059","41189.3020833333","+0","0","","&B10000000","&B00000000"
"7060","41189.3055555556","+0","0","","&B10000000","&B00000000"
"7061","41189.3090277778","+0","0","","&B10000000","&B00000000"
"7062","41189.3125","+0","0","","&B10000000","&B00000000"
"7063","41189.3159722222","+0","0","","&B10000000","&B00000000"
"7064","41189.3194444444","+0","0","","&B10000000","&B00000000"
"7065","41189.3229166667","+0","0","","&B10000000","&B00000000"
"7066","41189.3263888889","+0","0","","&B10000000","&B00000000"
"7067","41189.3298611111","+0","0","","&B10000000","&B00000000"
"7068","41189.3333333333","+0","0","","&B10000000","&B00000000"
"7069","41189.3368055556","+0","0","","&B10000000","&B00000000"
"7070","41189.3402777778","+0","0","","&B10000000","&B00000000"
"7071","41189.34375","+0","0","","&B10000000","&B00000000"
"7072","41189.3472222222","+0","0","","&B10000000","&B00000000"
"7073","41189.3506944444","+0","0","","&B10000000","&B00000000"
"7074","41189.3541666667","+0","0","","&B10000000","&B00000000"
"7075","41189.3576388889","+0","0","","&B10000000","&B00000000"
"7076","41189.3611111111","+0","0","","&B10000000","&B00000000"
"7077","41189.3645833333","+0","0","","&B10000000","&B00000000"
"7078","41189.3680555556","+0","0","","&B10000000","&B00000000"
"7079","41189.3715277778","+0","0","","&B10000000","&B00000000"
"7080","41189.375","+0","0","","&B10000000","&B00000000"
"7081","41189.3784722222","+0","0","","&B10000000","&B00000000"
"7082","41189.3819444444","+0","0","","&B10000000","&B00000000"
"7083","41189.3854166667","+0","0","","&B10000000","&B00000000"
"7084","41189.3888888889","+0","0","","&B10000000","&B00000000"
"7085","41189.3923611111","+0","0","","&B10000000","&B00000000"
"7086","41189.3958333333","+0","0","","&B10000000","&B00000000"
"7087","41189.3993055556","+0","0","","&B10000000","&B00000000"
"7088","41189.4027777778","+0","0","","&B10000000","&B00000000"
"7089","41189.40625","+0","0","","&B10000000","&B00000000"
"7090","41189.4097222222","+0","0","","&B10000000","&B00000000"
"7091","41189.4131944444","+0","0","","&B10000000","&B00000000"
"7092","41189.4166666667","+0","0","","&B10000000","&B00000000"
"7093","41189.4201388889","+0","0","","&B10000000","&B00000000"
"7094","41189.4236111111","+0","0","","&B10000000","&B00000000"
"7095","41189.4270833333","+0","0","","&B10000000","&B00000000"
"7096","41189.4305555556","+0","0","","&B10000000","&B00000000"
"7097","41189.4340277778","+0","0","","&B10000000","&B00000000"
"7098","41189.4375","+0","0","","&B10000000","&B00000000"
"7099","41189.4409722222","-0.005","0","","&B10000000","&B00000000"
"7100","41189.4444444444","+0","0","","&B10000000","&B00000000"
"7101","41189.4479166667","+0","0","","&B10000000","&B00000000"
"7102","41189.4513888889","+0","0","","&B10000000","&B00000000"
"7103","41189.4548611111","+0","0","","&B10000000","&B00000000"
"7104","41189.4583333333","+0","0","","&B10000000","&B00000000"
"7105","41189.4618055556","+0","0","","&B10000000","&B00000000"
"7106","41189.4652777778","+0","0","","&B10000000","&B00000000"
"7107","41189.46875","+0","0","","&B10000000","&B00000000"
"7108","41189.4722222222","+0","0","","&B10000000","&B00000000"
"7109","41189.4756944444","+0","0","","&B10000000","&B00000000"
"7110","41189.4791666667","+0","0","","&B10000000","&B00000000"
"7111","41189.4826388889","+0","0","","&B10000000","&B00000000"
"7112","41189.4861111111","+0","0","","&B10000000","&B00000000"
"7113","41189.4895833333","+0","0","","&B10000000","&B00000000"
"7114","41189.4930555556","+0","0","","&B10000000","&B00000000"
"7115","41189.4965277778","+0","0","","&B10000000","&B00000000"
"7116","41189.5","+0","0","","&B10000000","&B00000000"
"7117","41189.5034722222","+0","0","","&B10000000","&B00000000"
"7118","41189.5069444444","+0","0","","&B10000000","&B00000000"
"7119","41189.5104166667","+0","0","","&B10000000","&B00000000"
"7120","41189.5138888889","+0","0","","&B10000000","&B00000000"
"7121","41189.5173611111","+0","0","","&B10000000","&B00000000"
"7122","41189.5208333333","+0","0","","&B10000000","&B00000000"
"7123","41189.5243055556","+0","0","","&B10000000","&B00000000"
"7124","41189.5277777778","+0","0","","&B10000000","&B00000000"
"7125","41189.53125","+0","0","","&B10000000","&B00000000"
"7126","41189.5347222222","+0","0","","&B10000000","&B00000000"
"7127","41189.5381944444","+0","0","","&B10000000","&B00000000"
"7128","41189.5416666667","+0","0","","&B10000000","&B00000000"
"7129","41189.5451388889","+0","0","","&B10000000","&B00000000"
"7130","41189.5486111111","+0","0","","&B10000000","&B00000000"
"7131","41189.5520833333","+0","0","","&B10000000","&B00000000"
"7132","41189.5555555556","+0","0","","&B10000000","&B00000000"
"7133","41189.5590277778","+0","0","","&B10000000","&B00000000"
"7134","41189.5625","+0","0","","&B10000000","&B00000000"
"7135","41189.5659722222","+0","0","","&B10000000","&B00000000"
"7136","41189.5694444444","+0","0","","&B10000000","&B00000000"
"7137","41189.5729166667","+0","0","","&B10000000","&B00000000"
"7138","41189.5763888889","+0","0","","&B10000000","&B00000000"
"7139","41189.5798611111","+0","0","","&B10000000","&B00000000"
"7140","41189.5833333333","+0","0","","&B10000000","&B00000000"
"7141","41189.5868055556","+0","0","","&B10000000","&B00000000"
"7142","41189.5902777778","+0","0","","&B10000000","&B00000000"
"7143","41189.59375","+0","0","","&B10000000","&B00000000"
"7144","41189.5972222222","+0","0","","&B10000000","&B00000000"
"7145","41189.6006944444","+0","0","","&B10000000","&B00000000"
"7146","41189.6041666667","+0","0","","&B10000000","&B00000000"
"7147","41189.6076388889","+0","0","","&B10000000","&B00000000"
"7148","41189.6111111111","+0","0","","&B10000000","&B00000000"
"7149","41189.6145833333","+0","0","","&B10000000","&B00000000"
"7150","41189.6180555556","+0","0","","&B10000000","&B00000000"
"7151","41189.6215277778","+0","0","","&B10000000","&B00000000"
"7152","41189.625","+0","0","","&B10000000","&B00000000"
"7153","41189.6284722222","+0","0","","&B10000000","&B00000000"
"7154","41189.6319444444","+0","0","","&B10000000","&B00000000"
"7155","41189.6354166667","-0.005","0","","&B10000000","&B00000000"
"7156","41189.6388888889","+0","0","","&B10000000","&B00000000"
"7157","41189.6423611111","+0","0","","&B10000000","&B00000000"
"7158","41189.6458333333","+0","0","","&B10000000","&B00000000"
"7159","41189.6493055556","+0","0","","&B10000000","&B00000000"
"7160","41189.6527777778","+0","0","","&B10000000","&B00000000"
"7161","41189.65625","+0","0","","&B10000000","&B00000000"
"7162","41189.6597222222","+0","0","","&B10000000","&B00000000"
"7163","41189.6631944444","+0","0","","&B10000000","&B00000000"
"7164","41189.6666666667","+0","0","","&B10000000","&B00000000"
"7165","41189.6701388889","+0","0","","&B10000000","&B00000000"
"7166","41189.6736111111","+0","0","","&B10000000","&B00000000"
"7167","41189.6770833333","+0","0","","&B10000000","&B00000000"
"7168","41189.6805555556","+0","0","","&B10000000","&B00000000"
"7169","41189.6840277778","+0","0","","&B10000000","&B00000000"
"7170","41189.6875","+0","0","","&B10000000","&B00000000"
"7171","41189.6909722222","+0","0","","&B10000000","&B00000000"
"7172","41189.6944444444","+0","0","","&B10000000","&B00000000"
"7173","41189.6979166667","+0","0","","&B10000000","&B00000000"
"7174","41189.7013888889","+0","0","","&B10000000","&B00000000"
"7175","41189.7048611111","+0","0","","&B10000000","&B00000000"
"7176","41189.7083333333","+0","0","","&B10000000","&B00000000"
"7177","41189.7118055556","+0","0","","&B10000000","&B00000000"
"7178","41189.7152777778","+0","0","","&B10000000","&B00000000"
"7179","41189.71875","+0","0","","&B10000000","&B00000000"
"7180","41189.7222222222","+0","0","","&B10000000","&B00000000"
"7181","41189.7256944444","+0","0","","&B10000000","&B00000000"
"7182","41189.7291666667","+0","0","","&B10000000","&B00000000"
"7183","41189.7326388889","+0","0","","&B10000000","&B00000000"
"7184","41189.7361111111","+0","0","","&B10000000","&B00000000"
"7185","41189.7395833333","+0","0","","&B10000000","&B00000000"
"7186","41189.7430555556","+0","0","","&B10000000","&B00000000"
"7187","41189.7465277778","+0","0","","&B10000000","&B00000000"
"7188","41189.75","+0","0","","&B10000000","&B00000000"
"7189","41189.7534722222","+0","0","","&B10000000","&B00000000"
"7190","41189.7569444444","+0","0","","&B10000000","&B00000000"
"7191","41189.7604166667","+0","0","","&B10000000","&B00000000"
"7192","41189.7638888889","+0","0","","&B10000000","&B00000000"
"7193","41189.7673611111","+0","0","","&B10000000","&B00000000"
"7194","41189.7708333333","+0","0","","&B10000000","&B00000000"
"7195","41189.7743055556","+0","0","","&B10000000","&B00000000"
"7196","41189.7777777778","+0","0","","&B10000000","&B00000000"
"7197","41189.78125","+0","0","","&B10000000","&B00000000"
"7198","41189.7847222222","+0","0","","&B10000000","&B00000000"
"7199","41189.7881944444","+0","0","","&B10000000","&B00000000"
"7200","41189.7916666667","+0","0","","&B10000000","&B00000000"
"7201","41189.7951388889","+0","0","","&B10000000","&B00000000"
"7202","41189.7986111111","+0","0","","&B10000000","&B00000000"
"7203","41189.8020833333","+0","0","","&B10000000","&B00000000"
"7204","41189.8055555556","+0","0","","&B10000000","&B00000000"
"7205","41189.8090277778","+0","0","","&B10000000","&B00000000"
"7206","41189.8125","+0","0","","&B10000000","&B00000000"
"7207","41189.8159722222","+0","0","","&B10000000","&B00000000"
"7208","41189.8194444444","-0.005","0","","&B10000000","&B00000000"
"7209","41189.8229166667","+0","0","","&B10000000","&B00000000"
"7210","41189.8263888889","+0","0","","&B10000000","&B00000000"
"7211","41189.8298611111","+0","0","","&B10000000","&B00000000"
"7212","41189.8333333333","+0","0","","&B10000000","&B00000000"
"7213","41189.8368055556","+0","0","","&B10000000","&B00000000"
"7214","41189.8402777778","+0","0","","&B10000000","&B00000000"
"7215","41189.84375","-0.005","0","","&B10000000","&B00000000"
"7216","41189.8472222222","+0","0","","&B10000000","&B00000000"
"7217","41189.8506944444","+0","0","","&B10000000","&B00000000"
"7218","41189.8541666667","-0.005","0","","&B10000000","&B00000000"
"7219","41189.8576388889","+0","0","","&B10000000","&B00000000"
"7220","41189.8611111111","+0","0","","&B10000000","&B00000000"
"7221","41189.8645833333","+0","0","","&B10000000","&B00000000"
"7222","41189.8680555556","+0","0","","&B10000000","&B00000000"
"7223","41189.8715277778","+0","0","","&B10000000","&B00000000"
"7224","41189.875","+0","0","","&B10000000","&B00000000"
"7225","41189.8784722222","+0","0","","&B10000000","&B00000000"
"7226","41189.8819444444","+0","0","","&B10000000","&B00000000"
"7227","41189.8854166667","+0","0","","&B10000000","&B00000000"
"7228","41189.8888888889","+0","0","","&B10000000","&B00000000"
"7229","41189.8923611111","+0","0","","&B10000000","&B00000000"
"7230","41189.8958333333","+0","0","","&B10000000","&B00000000"
"7231","41189.8993055556","+0","0","","&B10000000","&B00000000"
"7232","41189.9027777778","+0","0","","&B10000000","&B00000000"
"7233","41189.90625","+0","0","","&B10000000","&B00000000"
"7234","41189.9097222222","+0","0","","&B10000000","&B00000000"
"7235","41189.9131944444","+0","0","","&B10000000","&B00000000"
"7236","41189.9166666667","+0","0","","&B10000000","&B00000000"
"7237","41189.9201388889","+0","0","","&B10000000","&B00000000"
"7238","41189.9236111111","+0","0","","&B10000000","&B00000000"
"7239","41189.9270833333","+0","0","","&B10000000","&B00000000"
"7240","41189.9305555556","+0","0","","&B10000000","&B00000000"
"7241","41189.9340277778","+0","0","","&B10000000","&B00000000"
"7242","41189.9375","+0","0","","&B10000000","&B00000000"
"7243","41189.9409722222","+0","0","","&B10000000","&B00000000"
"7244","41189.9444444444","+0","0","","&B10000000","&B00000000"
"7245","41189.9479166667","+0","0","","&B10000000","&B00000000"
"7246","41189.9513888889","+0","0","","&B10000000","&B00000000"
"7247","41189.9548611111","+0","0","","&B10000000","&B00000000"
"7248","41189.9583333333","+0","0","","&B10000000","&B00000000"
"7249","41189.9618055556","+0","0","","&B10000000","&B00000000"
"7250","41189.9652777778","+0","0","","&B10000000","&B00000000"
"7251","41189.96875","+0","0","","&B10000000","&B00000000"
"7252","41189.9722222222","+0","0","","&B10000000","&B00000000"
"7253","41189.9756944444","+0","0","","&B10000000","&B00000000"
"7254","41189.9791666667","+0","0","","&B10000000","&B00000000"
"7255","41189.9826388889","+0","0","","&B10000000","&B00000000"
"7256","41189.9861111111","+0","0","","&B10000000","&B00000000"
"7257","41189.9895833333","+0","0","","&B10000000","&B00000000"
"7258","41189.9930555556","+0","0","","&B10000000","&B00000000"
"7259","41189.9965277778","+0","0","","&B10000000","&B00000000"
"7260","41190","+0","0","","&B10000000","&B00000000"
"7261","41190.0034722222","+0","0","","&B10000000","&B00000000"
"7262","41190.0069444444","+0","0","","&B10000000","&B00000000"
"7263","41190.0104166667","+0","0","","&B10000000","&B00000000"
"7264","41190.0138888889","+0","0","","&B10000000","&B00000000"
"7265","41190.0173611111","+0","0","","&B10000000","&B00000000"
"7266","41190.0208333333","+0","0","","&B10000000","&B00000000"
"7267","41190.0243055556","+0","0","","&B10000000","&B00000000"
"7268","41190.0277777778","+0","0","","&B10000000","&B00000000"
"7269","41190.03125","+0","0","","&B10000000","&B00000000"
"7270","41190.0347222222","+0","0","","&B10000000","&B00000000"
"7271","41190.0381944444","+0","0","","&B10000000","&B00000000"
"7272","41190.0416666667","+0","0","","&B10000000","&B00000000"
"7273","41190.0451388889","+0","0","","&B10000000","&B00000000"
"7274","41190.0486111111","+0","0","","&B10000000","&B00000000"
"7275","41190.0520833333","+0","0","","&B10000000","&B00000000"
"7276","41190.0555555556","+0","0","","&B10000000","&B00000000"
"7277","41190.0590277778","+0","0","","&B10000000","&B00000000"
"7278","41190.0625","+0","0","","&B10000000","&B00000000"
"7279","41190.0659722222","+0","0","","&B10000000","&B00000000"
"7280","41190.0694444444","+0","0","","&B10000000","&B00000000"
"7281","41190.0729166667","+0","0","","&B10000000","&B00000000"
"7282","41190.0763888889","+0","0","","&B10000000","&B00000000"
"7283","41190.0798611111","+0","0","","&B10000000","&B00000000"
"7284","41190.0833333333","+0","0","","&B10000000","&B00000000"
"7285","41190.0868055556","+0","0","","&B10000000","&B00000000"
"7286","41190.0902777778","+0","0","","&B10000000","&B00000000"
"7287","41190.09375","+0","0","","&B10000000","&B00000000"
"7288","41190.0972222222","+0","0","","&B10000000","&B00000000"
"7289","41190.1006944444","+0","0","","&B10000000","&B00000000"
"7290","41190.1041666667","+0","0","","&B10000000","&B00000000"
"7291","41190.1076388889","+0","0","","&B10000000","&B00000000"
"7292","41190.1111111111","+0","0","","&B10000000","&B00000000"
"7293","41190.1145833333","+0","0","","&B10000000","&B00000000"
"7294","41190.1180555556","+0","0","","&B10000000","&B00000000"
"7295","41190.1215277778","+0","0","","&B10000000","&B00000000"
"7296","41190.125","+0","0","","&B10000000","&B00000000"
"7297","41190.1284722222","+0","0","","&B10000000","&B00000000"
"7298","41190.1319444444","+0","0","","&B10000000","&B00000000"
"7299","41190.1354166667","+0","0","","&B10000000","&B00000000"
"7300","41190.1388888889","+0","0","","&B10000000","&B00000000"
"7301","41190.1423611111","+0","0","","&B10000000","&B00000000"
"7302","41190.1458333333","+0","0","","&B10000000","&B00000000"
"7303","41190.1493055556","+0","0","","&B10000000","&B00000000"
"7304","41190.1527777778","+0","0","","&B10000000","&B00000000"
"7305","41190.15625","+0","0","","&B10000000","&B00000000"
"7306","41190.1597222222","+0","0","","&B10000000","&B00000000"
"7307","41190.1631944444","+0","0","","&B10000000","&B00000000"
"7308","41190.1666666667","+0","0","","&B10000000","&B00000000"
"7309","41190.1701388889","+0","0","","&B10000000","&B00000000"
"7310","41190.1736111111","+0","0","","&B10000000","&B00000000"
"7311","41190.1770833333","+0","0","","&B10000000","&B00000000"
"7312","41190.1805555556","+0","0","","&B10000000","&B00000000"
"7313","41190.1840277778","+0","0","","&B10000000","&B00000000"
"7314","41190.1875","+0","0","","&B10000000","&B00000000"
"7315","41190.1909722222","+0","0","","&B10000000","&B00000000"
"7316","41190.1944444444","+0","0","","&B10000000","&B00000000"
"7317","41190.1979166667","+0","0","","&B10000000","&B00000000"
"7318","41190.2013888889","+0","0","","&B10000000","&B00000000"
"7319","41190.2048611111","+0","0","","&B10000000","&B00000000"
"7320","41190.2083333333","+0","0","","&B10000000","&B00000000"
"7321","41190.2118055556","+0","0","","&B10000000","&B00000000"
"7322","41190.2152777778","-0.005","0","","&B10000000","&B00000000"
"7323","41190.21875","+0","0","","&B10000000","&B00000000"
"7324","41190.2222222222","+0","0","","&B10000000","&B00000000"
"7325","41190.2256944444","+0","0","","&B10000000","&B00000000"
"7326","41190.2291666667","+0","0","","&B10000000","&B00000000"
"7327","41190.2326388889","+0","0","","&B10000000","&B00000000"
"7328","41190.2361111111","+0","0","","&B10000000","&B00000000"
"7329","41190.2395833333","+0","0","","&B10000000","&B00000000"
"7330","41190.2430555556","+0","0","","&B10000000","&B00000000"
"7331","41190.2465277778","+0","0","","&B10000000","&B00000000"
"7332","41190.25","+0","0","","&B10000000","&B00000000"
"7333","41190.2534722222","+0","0","","&B10000000","&B00000000"
"7334","41190.2569444444","+0","0","","&B10000000","&B00000000"
"7335","41190.2604166667","+0","0","","&B10000000","&B00000000"
"7336","41190.2638888889","+0","0","","&B10000000","&B00000000"
"7337","41190.2673611111","+0","0","","&B10000000","&B00000000"
"7338","41190.2708333333","+0","0","","&B10000000","&B00000000"
"7339","41190.2743055556","-0.005","0","","&B10000000","&B00000000"
"7340","41190.2777777778","+0","0","","&B10000000","&B00000000"
"7341","41190.28125","+0","0","","&B10000000","&B00000000"
"7342","41190.2847222222","+0","0","","&B10000000","&B00000000"
"7343","41190.2881944444","+0","0","","&B10000000","&B00000000"
"7344","41190.2916666667","+0","0","","&B10000000","&B00000000"
"7345","41190.2951388889","+0","0","","&B10000000","&B00000000"
"7346","41190.2986111111","+0","0","","&B10000000","&B00000000"
"7347","41190.3020833333","+0","0","","&B10000000","&B00000000"
"7348","41190.3055555556","+0","0","","&B10000000","&B00000000"
"7349","41190.3090277778","+0","0","","&B10000000","&B00000000"
"7350","41190.3125","+0","0","","&B10000000","&B00000000"
"7351","41190.3159722222","+0","0","","&B10000000","&B00000000"
"7352","41190.3194444444","+0","0","","&B10000000","&B00000000"
"7353","41190.3229166667","+0","0","","&B10000000","&B00000000"
"7354","41190.3263888889","-0.005","0","","&B10000000","&B00000000"
"7355","41190.3298611111","+0","0","","&B10000000","&B00000000"
"7356","41190.3333333333","+0","0","","&B10000000","&B00000000"
"7357","41190.3368055556","+0","0","","&B10000000","&B00000000"
"7358","41190.3402777778","+0","0","","&B10000000","&B00000000"
"7359","41190.34375","+0","0","","&B10000000","&B00000000"
"7360","41190.3472222222","+0","0","","&B10000000","&B00000000"
"7361","41190.3506944444","+0","0","","&B10000000","&B00000000"
"7362","41190.3541666667","+0","0","","&B10000000","&B00000000"
"7363","41190.3576388889","+0","0","","&B10000000","&B00000000"
"7364","41190.3611111111","+0","0","","&B10000000","&B00000000"
"7365","41190.3645833333","+0","0","","&B10000000","&B00000000"
"7366","41190.3680555556","+0","0","","&B10000000","&B00000000"
"7367","41190.3715277778","+0","0","","&B10000000","&B00000000"
"7368","41190.375","+0","0","","&B10000000","&B00000000"
"7369","41190.3784722222","+0","0","","&B10000000","&B00000000"
"7370","41190.3819444444","+0","0","","&B10000000","&B00000000"
"7371","41190.3854166667","+0","0","","&B10000000","&B00000000"
"7372","41190.3888888889","+0","0","","&B10000000","&B00000000"
"7373","41190.3923611111","+0","0","","&B10000000","&B00000000"
"7374","41190.3958333333","+0","0","","&B10000000","&B00000000"
"7375","41190.3993055556","+0","0","","&B10000000","&B00000000"
"7376","41190.4027777778","+0","0","","&B10000000","&B00000000"
"7377","41190.40625","+0","0","","&B10000000","&B00000000"
"7378","41190.4097222222","+0","0","","&B10000000","&B00000000"
"7379","41190.4131944444","+0","0","","&B10000000","&B00000000"
"7380","41190.4166666667","+0","0","","&B10000000","&B00000000"
"7381","41190.4201388889","+0","0","","&B10000000","&B00000000"
"7382","41190.4236111111","+0","0","","&B10000000","&B00000000"
"7383","41190.4270833333","+0","0","","&B10000000","&B00000000"
"7384","41190.4305555556","+0","0","","&B10000000","&B00000000"
"7385","41190.4340277778","+0","0","","&B10000000","&B00000000"
"7386","41190.4375","+0","0","","&B10000000","&B00000000"
"7387","41190.4409722222","+0","0","","&B10000000","&B00000000"
"7388","41190.4444444444","+0","0","","&B10000000","&B00000000"
"7389","41190.4479166667","+0","0","","&B10000000","&B00000000"
"7390","41190.4513888889","+0","0","","&B10000000","&B00000000"
"7391","41190.4548611111","+0","0","","&B10000000","&B00000000"
"7392","41190.4583333333","+0","0","","&B10000000","&B00000000"
"7393","41190.4618055556","+0","0","","&B10000000","&B00000000"
"7394","41190.4652777778","+0","0","","&B10000000","&B00000000"
"7395","41190.46875","+0","0","","&B10000000","&B00000000"
"7396","41190.4722222222","+0","0","","&B10000000","&B00000000"
"7397","41190.4756944444","+0","0","","&B10000000","&B00000000"
"7398","41190.4791666667","+0","0","","&B10000000","&B00000000"
"7399","41190.4826388889","+0","0","","&B10000000","&B00000000"
"7400","41190.4861111111","+0","0","","&B10000000","&B00000000"
"7401","41190.4895833333","+0","0","","&B10000000","&B00000000"
"7402","41190.4930555556","+0","0","","&B10000000","&B00000000"
"7403","41190.4965277778","+0","0","","&B10000000","&B00000000"
