%DATA MadgeTech Data File                       
%FORMAT CSV                                     
%VERSION 2.02.00                                
%BEGIN

"[Device]"
"DeviceType","&H0126"
"193","41165.4618055556","+0","0","","&B10000000","&B00000000"
"194","41165.4652777778","+0","0","","&B10000000","&B00000000"
"195","41165.46875","+0","0","","&B10000000","&B00000000"
"196","41165.4722222222","+0","0","","&B10000000","&B00000000"
"197","41165.4756944444","+0","0","","&B10000000","&B00000000"
"198","41165.4791666667","+0","0","","&B10000000","&B00000000"
"199","41165.4826388889","+0","0","","&B10000000","&B00000000"
"200","41165.4861111111","+0","0","","&B10000000","&B00000000"
"201","41165.4895833333","+0","0","","&B10000000","&B00000000"
"202","41165.4930555556","+0","0","","&B10000000","&B00000000"
"203","41165.4965277778","+0","0","","&B10000000","&B00000000"
"204","41165.5","+0","0","","&B10000000","&B00000000"
"205","41165.5034722222","+0","0","","&B10000000","&B00000000"
"206","41165.5069444444","+0","0","","&B10000000","&B00000000"
"207","41165.5104166667","+0","0","","&B10000000","&B00000000"
"208","41165.5138888889","+0","0","","&B10000000","&B00000000"
"209","41165.5173611111","+0","0","","&B10000000","&B00000000"
"210","41165.5208333333","+0","0","","&B10000000","&B00000000"
"211","41165.5243055556","+0","0","","&B10000000","&B00000000"
"212","41165.5277777778","+0","0","","&B10000000","&B00000000"
"213","41165.53125","+0","0","","&B10000000","&B00000000"
"214","41165.5347222222","+0","0","","&B10000000","&B00000000"
"215","41165.5381944444","+0","0","","&B10000000","&B00000000"
"216","41165.5416666667","+0","0","","&B10000000","&B00000000"
"217","41165.5451388889","+0","0","","&B10000000","&B00000000"
"218","41165.5486111111","+0","0","","&B10000000","&B00000000"
"219","41165.5520833333","+0","0","","&B10000000","&B00000000"
"220","41165.5555555556","+0","0","","&B10000000","&B00000000"
"221","41165.5590277778","+0","0","","&B10000000","&B00000000"
"222","41165.5625","+0","0","","&B10000000","&B00000000"
"223","41165.5659722222","+0","0","","&B10000000","&B00000000"
"224","41165.5694444444","+0","0","","&B10000000","&B00000000"
"225","41165.5729166667","+0","0","","&B10000000","&B00000000"
"226","41165.5763888889","+0","0","","&B10000000","&B00000000"
"227","41165.5798611111","+0","0","","&B10000000","&B00000000"
